blueWins,blueKillDiff,blueDeathDiff,blueAssistsDiff,blueWardPlacedDiff,blueWardDestroyedDiff,blueAvgLvlDiff,blueTowerDestroyedDiff,blueCSPerMinDiff,dragTeam,heraldTeam,fbTeam
0,3,-3,3,13,-4,-0.2,0,-0.2,0,0,1
0,0,0,3,0,0,-0.2,-1,-6.6,-1,-1,-1
0,-4,4,-10,0,-3,-0.4,0,-1.7,1,0,-1
0,-1,1,-5,28,-1,0,0,-3.4,0,1,-1
0,0,0,-1,58,2,0,0,-1.5,-1,0,-1
1,2,-2,4,-18,-5,0,0,0.4,1,0,-1
1,1,-1,-2,-39,2,0.4,0,6.1,1,0,1
0,-8,8,-8,1,2,-0.2,0,5.2,-1,0,-1
0,0,0,3,1,1,0,0,-5.1,-1,-1,-1
1,-1,1,1,-3,-1,0,0,-2.7,1,0,1
0,0,0,1,5,1,-0.6,0,1.5,-1,0,1
0,0,0,-2,16,1,0,0,-3.1,0,1,1
1,6,-6,10,6,0,0.6,0,-0.2,1,0,1
0,-5,5,-10,-6,0,-0.6,0,-1.9,0,1,-1
1,0,0,1,-87,2,-0.2,0,-1.8,0,0,1
0,-4,4,-10,-1,-2,-0.4,0,-2.8,0,0,-1
1,8,-8,6,1,-1,0.8,0,5.3,-1,0,1
0,-4,4,-3,26,-11,0,0,-1.5,0,1,-1
1,1,-1,8,2,1,0.2,0,-1.5,-1,-1,1
0,-4,4,-4,-4,2,-0.4,0,-3.1,0,0,-1
1,5,-5,11,2,1,0.2,0,-1.1,1,0,1
0,-9,9,-9,-2,-2,-0.4,0,-0.6,-1,0,-1
0,-2,2,-7,1,-1,0,0,0.7,-1,0,-1
0,1,-1,1,63,1,-0.2,0,1.8,1,1,-1
1,-3,3,-3,15,0,0.2,0,1.1,0,0,-1
0,-4,4,-9,-2,-1,-0.8,0,-1.7,-1,0,-1
1,2,-2,6,8,-2,0.2,0,-2.4,1,0,-1
0,3,-3,7,5,-1,0.4,0,2.6,-1,0,1
0,2,-2,2,40,2,0,0,-0.6,1,0,1
0,-5,5,-10,0,2,-0.6,0,0.8,1,0,-1
1,5,-5,8,1,3,0.8,0,0.1,1,0,1
1,3,-3,4,2,2,0.4,0,1.2,1,1,1
0,2,-2,3,-7,1,0,0,-0.3,-1,0,-1
0,1,-1,0,1,1,0,0,-2.1,-1,0,1
1,2,-2,-1,25,1,0.2,0,-1.9,-1,0,-1
0,-1,1,-1,7,1,0,0,1.7,-1,-1,-1
0,-6,6,-3,-2,2,-0.2,0,-1.7,1,0,-1
0,-1,1,-2,-20,-2,-0.2,0,-1.1,-1,1,1
0,-2,2,-4,-7,2,0.2,0,0.7,-1,1,-1
0,-3,3,-3,-18,-1,-0.4,0,-2.3,-1,1,-1
0,-7,7,-13,-13,3,-0.4,0,0.9,-1,0,-1
1,4,-4,5,20,-1,0.4,0,4.6,0,0,-1
1,3,-3,8,1,1,0,0,1,1,0,-1
1,0,0,-1,-7,1,-0.4,0,1.2,0,0,1
0,-1,1,0,-21,0,0.4,0,0.9,-1,1,1
0,-9,9,-6,29,-1,-0.8,-1,-6,0,-1,-1
1,9,-9,7,-1,1,1.2,0,5.5,0,0,1
1,4,-4,0,6,-4,0.2,1,1.8,1,0,1
1,-1,1,1,3,-2,-0.2,0,-3.8,0,1,-1
0,0,0,2,-22,-5,-0.4,0,-3.5,0,0,-1
0,-2,2,-8,-8,-4,-0.2,0,0.3,-1,0,-1
1,-2,2,-1,6,-1,0,0,3.1,0,0,-1
1,3,-3,1,6,1,0,0,0.5,1,1,1
1,2,-2,0,22,1,0.4,0,3.8,-1,0,1
0,0,0,1,-6,2,-0.2,0,1.9,1,0,-1
0,-6,6,-7,-14,0,-0.4,0,2.3,-1,1,-1
0,-2,2,1,3,0,-0.6,0,-3.7,1,0,1
1,4,-4,6,1,-1,0.4,0,-2.1,1,0,1
1,2,-2,1,15,-1,0.2,0,-2.5,1,1,1
0,3,-3,5,-8,-1,0.6,1,5.4,-1,0,-1
0,-5,5,-4,0,1,-0.2,0,-2.7,-1,0,-1
0,-1,1,-5,7,1,0.2,0,0.1,-1,0,-1
1,2,-2,-1,-18,-1,0,0,-0.3,1,-1,1
1,8,-8,9,108,0,0.8,0,-0.4,1,1,1
0,-6,6,-3,-4,2,-0.8,0,-2.1,1,0,-1
0,-6,6,-4,37,1,-0.8,-1,-5.2,0,-1,-1
0,-1,1,1,8,-2,-0.2,0,-1.7,0,0,-1
0,-1,1,3,8,-1,-0.2,0,1.2,1,-1,1
1,-2,2,-3,3,-1,0.2,0,-0.1,-1,0,-1
0,-1,1,-1,1,1,-0.2,0,-4.3,-1,0,1
0,1,-1,-4,3,-3,0,-1,0.3,-1,1,1
1,1,-1,3,24,-1,0.2,0,1.4,-1,0,1
0,6,-6,9,5,-1,0.4,0,2.4,-1,0,1
0,-5,5,-6,1,3,-0.2,0,1.2,1,0,1
1,2,-2,1,0,1,0.2,0,3.7,1,-1,1
1,2,-2,0,2,2,0.2,0,3.1,1,1,1
0,-2,2,-4,-1,0,-0.2,0,-0.5,-1,-1,-1
1,4,-4,2,4,-2,0.2,0,3.2,0,1,1
1,4,-4,13,6,-3,0.4,0,1.6,1,0,-1
0,1,-1,3,-35,1,0.4,0,4.4,-1,-1,-1
0,7,-7,6,27,6,0.2,0,4.6,-1,1,1
0,0,0,7,-1,0,-0.4,0,-3.7,1,-1,-1
0,-1,1,0,-22,-5,0.2,0,2.1,-1,1,-1
1,1,-1,-1,2,3,0,0,2.8,1,0,-1
1,0,0,-2,1,-1,0,0,-0.2,1,0,-1
1,5,-5,9,-11,2,0.4,0,4.1,1,1,-1
0,-5,5,-3,-41,5,-0.2,0,2.3,-1,0,-1
1,-3,3,1,-3,2,-0.6,0,-4.7,1,0,-1
1,6,-6,8,3,-1,0.8,0,-1.5,0,0,-1
0,-7,7,-11,-7,0,-0.8,0,1,1,-1,-1
0,-4,4,-4,48,11,-0.8,0,-2.2,-1,0,1
0,-2,2,-4,-16,0,0.4,0,0.3,-1,-1,1
1,7,-7,3,2,1,0.6,0,1,-1,0,1
1,0,0,-4,-5,1,0.6,1,11.2,-1,0,1
0,0,0,3,-2,-2,-0.2,0,-4.6,1,0,-1
0,-5,5,-9,1,-1,0,0,-0.1,-1,0,-1
1,1,-1,4,-1,4,-0.2,0,4.4,-1,0,1
1,-2,2,-1,28,0,0.2,0,6.4,-1,1,-1
1,5,-5,2,2,-2,0.4,0,3.9,1,1,-1
0,-3,3,-7,5,-2,-0.2,0,4.1,0,1,-1
0,-2,2,-7,-4,2,-0.4,0,1.4,1,0,1
0,-2,2,-3,-3,0,-0.4,0,-2.2,-1,0,-1
0,-1,1,-3,-4,1,-0.4,0,-1.3,-1,-1,-1
0,5,-5,5,3,0,0.6,0,2.7,-1,1,-1
0,-3,3,-4,11,-3,0,0,0.7,-1,-1,-1
0,2,-2,4,-4,0,0.2,0,4.1,1,-1,-1
1,-8,8,-5,1,0,-1,0,-2.7,-1,0,-1
0,-2,2,-6,3,-1,0.2,0,1.7,-1,0,-1
