blueWins,blueKillDiff,blueAssistsDiff,blueAvgLvlDiff,blueTowerDestroyedDiff,blueCSPerMinDiff,dragTeam,heraldTeam,fbTeam
0,0.6060606060606061,0.5833333333333333,-0.2,0,0.4777327935222672,0,0,1
0,0.5151515151515151,0.5833333333333333,-0.2,-1,0.21862348178137658,-1,-1,-1
0,0.3939393939393939,0.31249999999999994,-0.4,0,0.417004048582996,1,0,-1
0,0.48484848484848486,0.41666666666666663,0.0,0,0.34817813765182193,0,1,-1
0,0.5151515151515151,0.49999999999999994,0.0,0,0.4251012145748988,-1,0,-1
1,0.5757575757575757,0.6041666666666666,0.0,0,0.5020242914979758,1,0,-1
1,0.5454545454545454,0.4791666666666666,0.4,0,0.7327935222672065,1,0,1
0,0.2727272727272727,0.35416666666666663,-0.2,0,0.6963562753036437,-1,0,-1
0,0.5151515151515151,0.5833333333333333,0.0,0,0.27935222672064786,-1,-1,-1
1,0.48484848484848486,0.5416666666666666,0.0,0,0.3765182186234818,1,0,1
0,0.5151515151515151,0.5416666666666666,-0.6,0,0.5465587044534413,-1,0,1
0,0.5151515151515151,0.4791666666666666,0.0,0,0.3603238866396761,0,1,1
1,0.696969696969697,0.7291666666666665,0.6,0,0.4777327935222672,1,0,1
0,0.36363636363636365,0.31249999999999994,-0.6,0,0.40890688259109315,0,1,-1
1,0.5151515151515151,0.5416666666666666,-0.2,0,0.41295546558704455,0,0,1
0,0.3939393939393939,0.31249999999999994,-0.4,0,0.37246963562753044,0,0,-1
1,0.7575757575757576,0.6458333333333333,0.8,0,0.7004048582995952,-1,0,1
0,0.3939393939393939,0.45833333333333326,0.0,0,0.4251012145748988,0,1,-1
1,0.5454545454545454,0.6874999999999999,0.2,0,0.4251012145748988,-1,-1,1
0,0.3939393939393939,0.43749999999999994,-0.4,0,0.3603238866396761,0,0,-1
1,0.6666666666666666,0.7499999999999999,0.2,0,0.4412955465587045,1,0,1
0,0.24242424242424243,0.33333333333333326,-0.4,0,0.46153846153846156,-1,0,-1
